stepIndex,when,type,lane,
9,OnBeat,Laser,0,
13,OnBeat,Laser,1,
17,OnBeat,Laser,2,
21,OnBeat,Laser,0,
22,OnBeat,Laser,2,
23,OnBeat,Laser,0,
24,OnBeat,Laser,2,
26,OnBeat,Laser,1,
28,OnBeat,Laser,2,
28,OnBeat,Laser,0,
30,OnBeat,Laser,1,
32,OnBeat,Laser,0,
32,OnBeat,Laser,2,
33,OnBeat,Bomb,0,
37,OnBeat,Laser,1,
39,OnBeat,Laser,2,
39,OnBeat,Laser,0,
41,OnBeat,Laser,0,
42,OnBeat,Laser,0,
42,OnBeat,Laser,1,
43,OnBeat,Laser,0,
43,OnBeat,Laser,1,
44,OnBeat,Laser,0,
44,OnBeat,Laser,1,
46,OnBeat,Laser,2,
48,OnBeat,Laser,1,
48,OnBeat,Laser,2,
50,OnBeat,Bomb,0,
52,OnBeat,Laser,1,
52,OnBeat,Laser,2,
54,OnBeat,Laser,0,
54,OnBeat,Laser,2,
56,OnBeat,Laser,1,
59,OnBeat,Laser,1,
59,OnBeat,Laser,0,
60,OnBeat,Laser,1,
60,OnBeat,Laser,0,
62,OnBeat,Laser,2,
64,OnBeat,Laser,1,
64,OnBeat,Laser,2,
66,OnBeat,Laser,0,
68,OnBeat,Laser,0,
68,OnBeat,Laser,1,
69,OnBeat,Laser,1,
73,OnBeat,Laser,0,
73,OnBeat,Laser,2,
77,OnBeat,Bomb,2,
81,OnBeat,Laser,1,
82,OnBeat,Laser,0,
83,OnBeat,Laser,1,
84,OnBeat,Laser,0,
85,OnBeat,Laser,0,
85,OnBeat,Laser,1,
87,OnBeat,Laser,2,
89,OnBeat,Laser,1,
89,OnBeat,Laser,2,
90,OnBeat,Laser,1,
90,OnBeat,Laser,2,
91,OnBeat,Laser,1,
91,OnBeat,Laser,2,
93,OnBeat,Laser,0,
95,OnBeat,Laser,1,
97,OnBeat,Laser,0,
99,OnBeat,Laser,0,
99,OnBeat,Laser,1,
100,OnBeat,Laser,0,
100,OnBeat,Laser,1,
101,OnBeat,Bomb,2,
104,OnBeat,Laser,0,
105,OnBeat,Laser,0,
105,OnBeat,Laser,1,
108,OnBeat,Laser,0,
108,OnBeat,Laser,2,
111,OnBeat,Laser,1,
112,OnBeat,Laser,1,
112,OnBeat,Laser,2,
114,OnBeat,Laser,0,
116,OnBeat,Laser,0,
117,OnBeat,Laser,0,
117,OnBeat,Laser,1,
119,OnBeat,Laser,0,
119,OnBeat,Laser,1,
123,OnBeat,Laser,2,
124,OnBeat,Laser,2,
125,OnBeat,Bomb,0,
129,OnBeat,Laser,0,
131,OnBeat,Laser,0,
131,OnBeat,Laser,1,
133,OnBeat,Laser,0,
133,OnBeat,Laser,2,
137,OnBeat,Laser,1,
141,OnBeat,Laser,0,
141,OnBeat,Laser,2,
145,OnBeat,Laser,1,
149,OnBeat,Laser,0,
151,OnBeat,Laser,0,
151,OnBeat,Laser,1,
155,OnBeat,Laser,2,
156,OnBeat,Laser,2,
157,OnBeat,Laser,2,
159,OnBeat,Laser,1,
